External Campaign Member ID,External Campaign ID,External Lead ID,External Contact ID,Member Type,Status,First Responded Date
CM002134,CMP000036,LED001652,,Lead,Clicked,2025-11-25
CM002135,CMP000004,LED001652,,Lead,Clicked,2026-05-15
CM002140,CMP000010,LED000124,,Lead,Clicked,2026-02-07
CM002161,CMP000016,LED003450,,Lead,Opened,
CM002162,CMP000006,LED003066,,Lead,Sent,
CM002168,CMP000005,LED003660,,Lead,Opened,
CM002170,CMP000024,LED000457,,Lead,Converted,2025-09-18
CM002174,CMP000004,LED003054,,Lead,Sent,
CM002178,CMP000025,LED002120,,Lead,Clicked,2025-08-15
CM002186,CMP000027,LED003126,,Lead,Attended,2026-05-31
CM002198,CMP000001,LED002765,,Lead,Converted,2025-11-25
CM002199,CMP000021,LED002765,,Lead,Clicked,2025-09-14
CM002206,CMP000010,LED001851,,Lead,Clicked,2025-11-17
CM002227,CMP000009,LED001460,,Lead,Opened,
CM002230,CMP000034,LED001757,,Lead,Sent,
CM002232,CMP000032,LED001134,,Lead,Sent,
CM002233,CMP000026,LED001134,,Lead,Sent,
CM002242,CMP000005,LED003221,,Lead,Sent,
CM002245,CMP000015,LED000931,,Lead,Clicked,2025-08-14
CM002246,CMP000012,LED002781,,Lead,Attended,2025-10-23
CM002255,CMP000036,LED002406,,Lead,Sent,
CM002256,CMP000029,LED002406,,Lead,Opened,
CM002257,CMP000020,LED002406,,Lead,Opened,
CM002258,CMP000021,LED001091,,Lead,Sent,
CM002269,CMP000017,LED000042,,Lead,Opened,
CM002270,CMP000033,LED000042,,Lead,Sent,
CM002271,CMP000036,LED003236,,Lead,Sent,
CM002274,CMP000031,LED003524,,Lead,Sent,
CM002299,CMP000003,LED003391,,Lead,Opened,
CM002302,CMP000017,LED000341,,Lead,Sent,
CM002303,CMP000030,LED000341,,Lead,Sent,
CM002310,CMP000028,LED003807,,Lead,Sent,
CM002321,CMP000021,LED002156,,Lead,Clicked,2025-08-22
CM002323,CMP000013,LED001767,,Lead,Clicked,2025-11-16
CM002325,CMP000033,LED003577,,Lead,Sent,
CM002327,CMP000028,LED002017,,Lead,Opened,
CM002334,CMP000028,LED003043,,Lead,Opened,
CM002335,CMP000030,LED003043,,Lead,Opened,
CM002337,CMP000030,LED001272,,Lead,Sent,
CM002353,CMP000006,LED003723,,Lead,Converted,2026-05-27
CM002356,CMP000003,LED002695,,Lead,Opened,
CM002361,CMP000010,LED002275,,Lead,Sent,
CM002376,CMP000003,LED002175,,Lead,Converted,2026-03-18
CM002387,CMP000009,LED002741,,Lead,Opened,
CM002390,CMP000001,LED003803,,Lead,Opened,
CM002393,CMP000011,LED003401,,Lead,Opened,
CM002394,CMP000023,LED003401,,Lead,Opened,
CM002410,CMP000011,LED002526,,Lead,Sent,
CM002412,CMP000021,LED002298,,Lead,Opened,
CM002414,CMP000003,LED003257,,Lead,Opened,
CM002415,CMP000017,LED003257,,Lead,Opened,
CM002421,CMP000017,LED000708,,Lead,Sent,
CM002425,CMP000034,LED001094,,Lead,Opened,
CM002426,CMP000024,LED001094,,Lead,Clicked,2025-10-29
CM002427,CMP000011,LED001377,,Lead,Sent,
CM002430,CMP000015,LED000073,,Lead,Opened,
CM002431,CMP000036,LED002139,,Lead,Clicked,2025-11-05
CM002432,CMP000023,LED002139,,Lead,Sent,
CM002437,CMP000026,LED003272,,Lead,Opened,
CM002440,CMP000029,LED001930,,Lead,Sent,
CM002441,CMP000022,LED001930,,Lead,Opened,
CM002444,CMP000035,LED001126,,Lead,Opened,
CM002447,CMP000013,LED001555,,Lead,Opened,
CM002448,CMP000023,LED001555,,Lead,Sent,
CM002452,CMP000008,LED002754,,Lead,Opened,
CM002453,CMP000004,LED002754,,Lead,Opened,
CM002467,CMP000015,LED001621,,Lead,Clicked,2025-10-16
CM002470,CMP000024,LED003905,,Lead,Sent,
CM002471,CMP000006,LED003905,,Lead,Clicked,2026-05-18
CM002473,CMP000004,LED002513,,Lead,Sent,
CM002481,CMP000002,LED000650,,Lead,Sent,
CM002484,CMP000010,LED004157,,Lead,Attended,2025-11-25
CM002508,CMP000020,LED003427,,Lead,Opened,
CM002526,CMP000029,LED003689,,Lead,Opened,
CM002531,CMP000008,LED003222,,Lead,Sent,
CM002546,CMP000030,LED002299,,Lead,Opened,
CM002547,CMP000030,LED002299,,Lead,Opened,
CM002550,CMP000011,LED002928,,Lead,Clicked,2026-04-10
CM002553,CMP000010,LED003626,,Lead,Sent,
CM002556,CMP000012,LED004066,,Lead,Sent,
CM002558,CMP000009,LED001799,,Lead,Sent,
CM002562,CMP000001,LED003783,,Lead,Clicked,2025-11-16
CM002563,CMP000019,LED002516,,Lead,Clicked,2025-12-31
CM002564,CMP000022,LED002516,,Lead,Converted,2026-07-24
CM002565,CMP000026,LED000298,,Lead,Sent,
CM002566,CMP000021,LED000298,,Lead,Sent,
CM002567,CMP000022,LED003113,,Lead,Attended,2026-08-01
CM002580,CMP000011,LED001610,,Lead,Sent,
CM002584,CMP000006,LED001287,,Lead,Opened,
CM002591,CMP000014,LED004116,,Lead,Sent,
CM002592,CMP000009,LED003212,,Lead,Attended,2026-02-27
CM002599,CMP000036,LED002300,,Lead,Converted,2026-01-03
CM002607,CMP000010,LED001917,,Lead,Sent,
CM002608,CMP000031,LED001358,,Lead,Attended,2025-11-25
CM002609,CMP000002,LED001358,,Lead,Sent,
CM002612,CMP000001,LED003878,,Lead,Clicked,2025-11-07
CM002613,CMP000033,LED000141,,Lead,Converted,2025-11-16
CM002614,CMP000022,LED000141,,Lead,Attended,2026-07-13
CM002615,CMP000003,LED000789,,Lead,Attended,2026-05-04
CM002627,CMP000011,LED000407,,Lead,Converted,2026-04-27
CM002635,CMP000027,LED003281,,Lead,Opened,
CM002640,CMP000024,LED002657,,Lead,Attended,2025-08-08
CM002651,CMP000010,LED003622,,Lead,Opened,
CM002652,CMP000030,LED003993,,Lead,Converted,2026-06-27
CM002656,CMP000033,LED002715,,Lead,Clicked,2025-12-06
CM002657,CMP000032,LED002715,,Lead,Sent,
CM002665,CMP000005,LED001001,,Lead,Clicked,2025-03-23
CM002671,CMP000036,LED003566,,Lead,Opened,
CM002672,CMP000029,LED003566,,Lead,Attended,2026-06-28
CM002673,CMP000010,LED003566,,Lead,Converted,2025-12-04
CM002679,CMP000014,LED002441,,Lead,Sent,
CM002684,CMP000035,LED001678,,Lead,Sent,
CM002686,CMP000009,LED001311,,Lead,Converted,2026-04-04
CM002687,CMP000004,LED001988,,Lead,Clicked,2026-04-13
CM002688,CMP000035,LED001988,,Lead,Opened,
CM002689,CMP000025,LED002595,,Lead,Clicked,2025-07-26
CM002690,CMP000006,LED002595,,Lead,Clicked,2026-03-14
CM002707,CMP000017,LED001382,,Lead,Sent,
CM002708,CMP000026,LED002180,,Lead,Sent,
CM002713,CMP000036,LED001365,,Lead,Sent,
CM002715,CMP000025,LED003635,,Lead,Opened,
CM002722,CMP000009,LED003169,,Lead,Attended,2026-01-27
CM002724,CMP000029,LED001209,,Lead,Clicked,2026-06-13
CM002725,CMP000001,LED001209,,Lead,Converted,2025-11-01
CM002726,CMP000032,LED003482,,Lead,Sent,
CM002727,CMP000001,LED003482,,Lead,Opened,
CM002734,CMP000008,LED000490,,Lead,Attended,2025-09-22
CM002736,CMP000014,LED001230,,Lead,Attended,2025-02-19
CM002737,CMP000010,LED001230,,Lead,Clicked,2026-01-10
CM002738,CMP000029,LED003576,,Lead,Sent,
CM002739,CMP000017,LED003576,,Lead,Sent,
CM002740,CMP000001,LED002866,,Lead,Opened,
CM002744,CMP000014,LED001059,,Lead,Attended,2025-03-25
CM002759,CMP000022,LED002291,,Lead,Sent,
CM002771,CMP000006,LED000576,,Lead,Sent,
CM002773,CMP000035,LED003606,,Lead,Converted,2025-07-24
CM002792,CMP000010,LED002114,,Lead,Opened,
CM002801,CMP000009,LED002267,,Lead,Sent,
CM002816,CMP000028,LED002970,,Lead,Opened,
CM002820,CMP000020,LED000530,,Lead,Attended,2026-05-14
CM002821,CMP000019,LED000530,,Lead,Sent,
CM002832,CMP000026,LED002452,,Lead,Converted,2026-04-23
CM002833,CMP000005,LED002452,,Lead,Sent,
CM002835,CMP000022,LED001442,,Lead,Attended,2026-06-25
CM002837,CMP000020,LED001274,,Lead,Sent,
CM002838,CMP000022,LED001274,,Lead,Sent,
CM002839,CMP000014,LED000608,,Lead,Converted,2025-02-08
CM002848,CMP000005,LED003924,,Lead,Converted,2025-03-31
CM002861,CMP000026,LED003767,,Lead,Opened,
CM002876,CMP000030,LED000695,,Lead,Converted,2026-06-22
CM002885,CMP000020,LED002813,,Lead,Opened,
CM002888,CMP000018,LED000014,,Lead,Sent,
CM002894,CMP000009,LED000410,,Lead,Clicked,2026-03-04
CM002897,CMP000017,LED003238,,Lead,Sent,
CM002903,CMP000032,LED002465,,Lead,Clicked,2025-11-27
CM002904,CMP000030,LED002465,,Lead,Opened,
CM002908,CMP000001,LED002656,,Lead,Sent,
CM002910,CMP000015,LED001884,,Lead,Sent,
CM002918,CMP000006,LED002271,,Lead,Opened,
CM002928,CMP000018,LED003812,,Lead,Sent,
CM002932,CMP000003,LED000106,,Lead,Opened,
CM002934,CMP000017,LED002170,,Lead,Clicked,2025-05-16
CM002941,CMP000035,LED002164,,Lead,Sent,
CM002942,CMP000033,LED002164,,Lead,Opened,
CM002943,CMP000031,LED002164,,Lead,Sent,
CM002953,CMP000003,,CON001444,Contact,Converted,2026-05-22
CM002957,CMP000004,,CON003027,Contact,Sent,
CM002962,CMP000022,,CON002115,Contact,Sent,
CM002965,CMP000007,,CON000611,Contact,Sent,
CM002967,CMP000025,,CON000599,Contact,Attended,2025-07-28
CM002970,CMP000006,,CON002496,Contact,Attended,2026-04-09
CM002973,CMP000019,,CON000533,Contact,Opened,
CM002978,CMP000002,,CON003243,Contact,Attended,2025-03-07
CM002982,CMP000036,,CON002068,Contact,Opened,
CM002986,CMP000003,,CON003448,Contact,Opened,
CM002991,CMP000033,,CON002714,Contact,Attended,2025-11-06
CM002992,CMP000021,,CON000917,Contact,Attended,2025-10-07
CM002993,CMP000009,,CON001012,Contact,Sent,
CM002995,CMP000009,,CON002170,Contact,Opened,
CM003005,CMP000024,,CON001295,Contact,Converted,2025-08-21
CM003008,CMP000023,,CON001562,Contact,Sent,
CM003009,CMP000003,,CON001631,Contact,Opened,
CM003016,CMP000034,,CON000069,Contact,Attended,2025-08-28
CM003019,CMP000017,,CON002822,Contact,Opened,
CM003021,CMP000029,,CON003203,Contact,Clicked,2026-06-23
CM003026,CMP000008,,CON001871,Contact,Sent,
CM003027,CMP000006,,CON003465,Contact,Opened,
CM003030,CMP000019,,CON002193,Contact,Clicked,2025-12-24
CM003041,CMP000031,,CON002213,Contact,Clicked,2025-10-18
CM003042,CMP000016,,CON002573,Contact,Converted,2026-01-27
CM003045,CMP000019,,CON001389,Contact,Sent,
CM003048,CMP000008,,CON003292,Contact,Opened,
CM003051,CMP000019,,CON002469,Contact,Attended,2026-03-02
CM003055,CMP000006,,CON002246,Contact,Sent,
CM003059,CMP000036,,CON000371,Contact,Sent,
CM003061,CMP000028,,CON000836,Contact,Opened,
CM003064,CMP000003,,CON002919,Contact,Opened,
CM003066,CMP000003,,CON000083,Contact,Sent,
CM003067,CMP000010,,CON001639,Contact,Opened,
CM003071,CMP000033,,CON001963,Contact,Opened,
CM003075,CMP000035,,CON000906,Contact,Clicked,2025-07-23
CM003076,CMP000018,,CON001258,Contact,Attended,2025-08-20
CM003085,CMP000015,,CON002196,Contact,Opened,
CM003100,CMP000014,,CON001757,Contact,Clicked,2025-01-30
CM003110,CMP000015,,CON002711,Contact,Clicked,2025-09-20
CM003130,CMP000007,,CON000594,Contact,Sent,
CM003131,CMP000005,,CON003485,Contact,Opened,
CM003134,CMP000013,,CON000943,Contact,Clicked,2025-10-22
CM003135,CMP000031,,CON002503,Contact,Sent,
CM003136,CMP000033,,CON001119,Contact,Sent,
CM003141,CMP000036,,CON000489,Contact,Sent,
CM003144,CMP000020,,CON002478,Contact,Opened,
CM003145,CMP000020,,CON002371,Contact,Opened,
CM003153,CMP000021,,CON002458,Contact,Opened,
CM003154,CMP000011,,CON003395,Contact,Attended,2026-03-03
CM003155,CMP000023,,CON002319,Contact,Opened,
CM003159,CMP000020,,CON000310,Contact,Converted,2026-03-04
CM003164,CMP000003,,CON000535,Contact,Clicked,2026-03-16
CM003166,CMP000017,,CON002849,Contact,Opened,
CM003168,CMP000031,,CON003414,Contact,Clicked,2026-01-10
CM003173,CMP000026,,CON000776,Contact,Attended,2026-02-18
CM003175,CMP000004,,CON000402,Contact,Opened,
CM003177,CMP000035,,CON001337,Contact,Converted,2025-07-26
CM003179,CMP000020,,CON000962,Contact,Opened,
CM003184,CMP000010,,CON001621,Contact,Converted,2025-11-29
CM003187,CMP000014,,CON001000,Contact,Clicked,2025-03-09
CM003191,CMP000036,,CON002845,Contact,Opened,
CM003196,CMP000035,,CON002306,Contact,Opened,
CM003200,CMP000013,,CON000425,Contact,Opened,
CM003201,CMP000017,,CON002812,Contact,Sent,
CM003208,CMP000030,,CON000142,Contact,Attended,2026-07-18
CM003213,CMP000034,,CON003163,Contact,Sent,
CM003224,CMP000023,,CON002307,Contact,Converted,2025-10-17
CM003226,CMP000007,,CON000969,Contact,Sent,
CM003229,CMP000008,,CON001509,Contact,Converted,2025-09-09
CM003246,CMP000023,,CON000238,Contact,Converted,2025-11-08
CM003251,CMP000012,,CON000973,Contact,Sent,
CM003268,CMP000028,,CON003555,Contact,Attended,2026-07-05
CM003269,CMP000011,,CON002393,Contact,Opened,
CM003272,CMP000032,,CON000109,Contact,Sent,
CM003278,CMP000002,,CON003035,Contact,Attended,2025-03-22
CM003284,CMP000013,,CON000857,Contact,Opened,
CM003296,CMP000010,,CON000786,Contact,Opened,
CM003297,CMP000009,,CON002443,Contact,Converted,2026-01-30
CM003305,CMP000014,,CON000554,Contact,Attended,2025-01-27
CM003309,CMP000022,,CON000910,Contact,Converted,2026-06-06
CM003310,CMP000014,,CON000622,Contact,Sent,
CM003312,CMP000002,,CON003426,Contact,Sent,
CM003316,CMP000023,,CON002615,Contact,Attended,2025-10-13
CM003324,CMP000010,,CON001044,Contact,Clicked,2026-01-15
CM003331,CMP000017,,CON000640,Contact,Clicked,2025-03-24
CM003332,CMP000035,,CON001195,Contact,Opened,
CM003333,CMP000025,,CON000082,Contact,Sent,
CM003335,CMP000026,,CON001279,Contact,Attended,2026-03-24
CM003337,CMP000020,,CON001708,Contact,Sent,
CM003338,CMP000035,,CON001867,Contact,Sent,
CM003339,CMP000030,,CON003187,Contact,Converted,2026-06-19
CM003342,CMP000020,,CON001864,Contact,Converted,2026-03-29
CM003350,CMP000036,,CON000215,Contact,Attended,2026-01-18
CM003352,CMP000017,,CON001914,Contact,Sent,
CM003359,CMP000033,,CON002338,Contact,Sent,
CM003372,CMP000001,,CON000743,Contact,Sent,
CM003374,CMP000019,,CON000473,Contact,Sent,
CM003376,CMP000010,,CON002038,Contact,Clicked,2025-12-25
CM003377,CMP000030,,CON003152,Contact,Opened,
CM003378,CMP000023,,CON001147,Contact,Clicked,2025-11-27
CM003385,CMP000008,,CON001089,Contact,Opened,
CM003387,CMP000026,,CON001268,Contact,Clicked,2026-03-28
CM003391,CMP000034,,CON003484,Contact,Attended,2025-09-02
CM003394,CMP000027,,CON002995,Contact,Sent,
CM003395,CMP000008,,CON001584,Contact,Clicked,2025-09-25
CM003398,CMP000036,,CON002629,Contact,Attended,2026-01-07
CM003401,CMP000024,,CON001304,Contact,Clicked,2025-08-19
CM003402,CMP000020,,CON001166,Contact,Opened,
CM003403,CMP000013,,CON001705,Contact,Opened,
CM003409,CMP000029,,CON001126,Contact,Clicked,2026-07-29
CM003410,CMP000022,,CON003301,Contact,Converted,2026-07-30
CM003420,CMP000028,,CON002695,Contact,Sent,
CM003421,CMP000011,,CON003432,Contact,Sent,
CM003427,CMP000008,,CON002978,Contact,Opened,
CM003432,CMP000034,,CON000789,Contact,Clicked,2025-07-09
CM003433,CMP000025,,CON001453,Contact,Opened,
CM003435,CMP000017,,CON002209,Contact,Clicked,2025-02-24
CM003438,CMP000031,,CON000336,Contact,Sent,
CM003440,CMP000033,,CON000884,Contact,Sent,
CM003444,CMP000001,,CON002111,Contact,Attended,2025-10-28
CM003450,CMP000019,,CON001900,Contact,Clicked,2026-02-13
CM003454,CMP000018,,CON003544,Contact,Clicked,2025-08-13
CM003456,CMP000028,,CON002171,Contact,Sent,
CM003460,CMP000030,,CON002332,Contact,Sent,
CM003464,CMP000005,,CON001876,Contact,Opened,
CM003469,CMP000007,,CON001437,Contact,Sent,
CM003470,CMP000002,,CON000340,Contact,Opened,
CM003473,CMP000008,,CON002410,Contact,Sent,
CM003478,CMP000036,,CON001566,Contact,Attended,2026-01-03
CM003479,CMP000014,,CON002827,Contact,Attended,2025-01-17
CM003486,CMP000008,,CON003320,Contact,Clicked,2025-10-23
CM003491,CMP000012,,CON001063,Contact,Opened,
CM003494,CMP000005,,CON000440,Contact,Sent,
CM003498,CMP000032,,CON001008,Contact,Opened,
CM003499,CMP000018,,CON000583,Contact,Clicked,2025-07-17
CM003500,CMP000010,,CON003133,Contact,Opened,
CM003504,CMP000017,,CON001819,Contact,Opened,
CM003505,CMP000032,,CON000035,Contact,Sent,
CM003506,CMP000029,,CON001192,Contact,Converted,2026-07-01
CM003508,CMP000005,,CON002174,Contact,Clicked,2025-04-02
CM003511,CMP000013,,CON000892,Contact,Sent,
CM003513,CMP000026,,CON001928,Contact,Sent,
CM003514,CMP000031,,CON001612,Contact,Opened,
CM003519,CMP000007,,CON000549,Contact,Converted,2026-02-20
CM003521,CMP000007,,CON000062,Contact,Converted,2026-03-12
CM003523,CMP000010,,CON002008,Contact,Opened,
CM003526,CMP000005,,CON002165,Contact,Attended,2025-04-23
CM003533,CMP000019,,CON000763,Contact,Sent,
CM003535,CMP000033,,CON001294,Contact,Opened,
CM003536,CMP000027,,CON001697,Contact,Clicked,2026-08-12
CM003537,CMP000036,,CON003337,Contact,Attended,2025-11-10
CM003541,CMP000023,,CON001669,Contact,Opened,
CM003542,CMP000013,,CON002574,Contact,Sent,
CM003546,CMP000034,,CON001899,Contact,Sent,
CM003551,CMP000001,,CON001471,Contact,Clicked,2026-01-21
CM003558,CMP000004,,CON003182,Contact,Clicked,2026-06-12
CM003559,CMP000006,,CON001993,Contact,Converted,2026-04-22
CM003561,CMP000021,,CON001251,Contact,Opened,
CM003566,CMP000004,,CON000778,Contact,Sent,
CM003567,CMP000027,,CON002488,Contact,Sent,
CM003570,CMP000020,,CON000885,Contact,Opened,
CM003571,CMP000012,,CON001815,Contact,Sent,
CM003572,CMP000010,,CON001991,Contact,Sent,
CM003574,CMP000024,,CON001340,Contact,Sent,
CM003577,CMP000030,,CON003303,Contact,Sent,
CM003578,CMP000010,,CON000224,Contact,Clicked,2026-01-20
CM003584,CMP000001,,CON003492,Contact,Sent,
CM003601,CMP000009,,CON002702,Contact,Sent,
CM003603,CMP000009,,CON002728,Contact,Opened,
CM003605,CMP000009,,CON001908,Contact,Sent,
CM003610,CMP000006,,CON003122,Contact,Converted,2026-05-08
CM003611,CMP000020,,CON002965,Contact,Sent,
CM003614,CMP000002,,CON000444,Contact,Opened,
CM003617,CMP000008,,CON001571,Contact,Opened,
CM003621,CMP000016,,CON001505,Contact,Sent,
CM003628,CMP000036,,CON001740,Contact,Clicked,2026-01-28
CM003632,CMP000008,,CON002914,Contact,Opened,
CM003633,CMP000011,,CON002001,Contact,Opened,
CM003634,CMP000035,,CON001886,Contact,Clicked,2025-09-22
CM003635,CMP000013,,CON001006,Contact,Sent,
CM003636,CMP000017,,CON000435,Contact,Clicked,2025-04-09
CM003637,CMP000011,,CON000739,Contact,Opened,
CM003639,CMP000023,,CON003415,Contact,Sent,
CM003642,CMP000012,,CON000745,Contact,Attended,2025-10-09
CM003647,CMP000036,,CON003079,Contact,Sent,
CM003656,CMP000012,,CON002707,Contact,Sent,
CM003658,CMP000006,,CON002713,Contact,Sent,
CM003659,CMP000001,,CON001810,Contact,Clicked,2025-11-10
CM003662,CMP000026,,CON001882,Contact,Sent,
CM003667,CMP000003,,CON002621,Contact,Clicked,2026-04-10
CM003668,CMP000008,,CON002762,Contact,Clicked,2025-11-12
CM003670,CMP000036,,CON002463,Contact,Converted,2026-01-28
CM003671,CMP000012,,CON003117,Contact,Clicked,2025-10-13
CM003677,CMP000004,,CON003177,Contact,Converted,2026-03-17
CM003679,CMP000010,,CON003129,Contact,Sent,
CM003686,CMP000007,,CON000180,Contact,Converted,2026-03-05
CM003688,CMP000023,,CON002126,Contact,Clicked,2025-10-11
CM003691,CMP000010,,CON002057,Contact,Converted,2026-01-25
CM003692,CMP000007,,CON000153,Contact,Sent,
CM003694,CMP000024,,CON003371,Contact,Clicked,2025-10-31
CM003696,CMP000033,,CON002991,Contact,Opened,
CM003698,CMP000027,,CON002479,Contact,Converted,2026-06-18
CM003703,CMP000008,,CON000828,Contact,Attended,2025-08-31
CM003705,CMP000029,,CON001527,Contact,Opened,
CM003708,CMP000015,,CON002923,Contact,Opened,
CM003717,CMP000032,,CON001840,Contact,Opened,
CM003718,CMP000019,,CON000712,Contact,Sent,
CM003719,CMP000035,,CON000794,Contact,Converted,2025-08-06
CM003721,CMP000008,,CON002855,Contact,Sent,
CM003726,CMP000034,,CON000422,Contact,Opened,
CM003729,CMP000003,,CON003600,Contact,Sent,
CM003735,CMP000025,,CON003093,Contact,Sent,
CM003746,CMP000016,,CON002901,Contact,Opened,
CM003751,CMP000014,,CON001508,Contact,Converted,2025-03-14
CM003756,CMP000001,,CON000751,Contact,Sent,
CM003762,CMP000029,,CON002442,Contact,Sent,
CM003765,CMP000028,,CON001070,Contact,Converted,2026-07-27
CM003772,CMP000004,,CON001774,Contact,Converted,2026-04-11
CM003773,CMP000028,,CON000720,Contact,Opened,
CM003775,CMP000013,,CON002072,Contact,Sent,
CM003776,CMP000017,,CON001060,Contact,Clicked,2025-04-27
CM003782,CMP000004,,CON003356,Contact,Sent,
CM003786,CMP000015,,CON002485,Contact,Opened,
CM003803,CMP000020,,CON001306,Contact,Converted,2026-03-04
CM003804,CMP000004,,CON001529,Contact,Sent,
CM003808,CMP000025,,CON001549,Contact,Clicked,2025-08-04
CM003811,CMP000027,,CON000102,Contact,Clicked,2026-07-28
CM003813,CMP000021,,CON000382,Contact,Clicked,2025-08-11
CM003814,CMP000016,,CON002199,Contact,Opened,
CM003815,CMP000035,,CON002351,Contact,Converted,2025-08-20
CM003819,CMP000014,,CON000262,Contact,Converted,2025-03-24
CM003821,CMP000020,,CON003335,Contact,Clicked,2026-03-15
CM003823,CMP000036,,CON000847,Contact,Sent,
CM003825,CMP000029,,CON002076,Contact,Attended,2026-06-25
CM003826,CMP000030,,CON000893,Contact,Sent,
CM003829,CMP000018,,CON000744,Contact,Clicked,2025-08-01
CM003831,CMP000002,,CON000574,Contact,Attended,2025-02-06
CM003835,CMP000026,,CON001124,Contact,Attended,2026-04-04
CM003837,CMP000028,,CON002059,Contact,Sent,
CM003839,CMP000020,,CON001165,Contact,Sent,
CM003844,CMP000036,,CON000507,Contact,Sent,
CM003847,CMP000031,,CON000991,Contact,Sent,
CM003851,CMP000030,,CON001059,Contact,Opened,
CM003852,CMP000006,,CON001985,Contact,Attended,2026-05-20
CM003856,CMP000004,,CON003025,Contact,Opened,
CM003857,CMP000019,,CON000428,Contact,Converted,2026-03-01
CM003863,CMP000032,,CON001990,Contact,Clicked,2025-12-26
CM003867,CMP000018,,CON000231,Contact,Attended,2025-09-03
CM003870,CMP000001,,CON002269,Contact,Converted,2025-12-13
CM003872,CMP000028,,CON001596,Contact,Clicked,2026-08-21
CM003876,CMP000029,,CON003329,Contact,Attended,2026-07-15
CM003878,CMP000002,,CON000472,Contact,Opened,
CM003879,CMP000008,,CON000579,Contact,Converted,2025-10-11
CM003880,CMP000026,,CON002852,Contact,Opened,
CM003887,CMP000005,,CON001273,Contact,Sent,
CM003890,CMP000010,,CON003360,Contact,Attended,2025-11-24
CM003894,CMP000032,,CON001141,Contact,Clicked,2025-12-02
CM003897,CMP000031,,CON000353,Contact,Clicked,2025-12-27
CM003899,CMP000023,,CON002109,Contact,Sent,
CM003901,CMP000020,,CON001937,Contact,Clicked,2026-03-09
CM003904,CMP000012,,CON002242,Contact,Sent,
CM003908,CMP000001,,CON002882,Contact,Clicked,2025-11-09
CM003911,CMP000033,,CON000221,Contact,Sent,
CM003913,CMP000012,,CON000350,Contact,Sent,
CM003917,CMP000005,,CON000084,Contact,Opened,
CM003919,CMP000005,,CON000121,Contact,Clicked,2025-03-10
CM003922,CMP000025,,CON002287,Contact,Converted,2025-07-15
CM003924,CMP000006,,CON003524,Contact,Attended,2026-05-22
CM003925,CMP000001,,CON001363,Contact,Attended,2026-01-11
CM003930,CMP000011,,CON000219,Contact,Opened,
CM003934,CMP000031,,CON002148,Contact,Sent,
CM003935,CMP000008,,CON002017,Contact,Sent,
CM003936,CMP000028,,CON000400,Contact,Sent,
CM003941,CMP000004,,CON001671,Contact,Sent,
CM003944,CMP000017,,CON001374,Contact,Clicked,2025-04-02
CM003945,CMP000006,,CON001322,Contact,Sent,
CM003946,CMP000024,,CON001525,Contact,Clicked,2025-08-23
CM003947,CMP000019,,CON001062,Contact,Opened,
CM003952,CMP000032,,CON003262,Contact,Sent,
CM003954,CMP000021,,CON000404,Contact,Opened,
CM003956,CMP000028,,CON003070,Contact,Converted,2026-08-17
CM003963,CMP000005,,CON001052,Contact,Opened,
CM003965,CMP000033,,CON001339,Contact,Sent,
CM003970,CMP000006,,CON001602,Contact,Attended,2026-03-07
CM003975,CMP000023,,CON000958,Contact,Clicked,2025-10-11
CM003978,CMP000036,,CON002317,Contact,Sent,
CM003981,CMP000029,,CON001560,Contact,Opened,
CM003985,CMP000021,,CON002591,Contact,Attended,2025-08-10
CM003997,CMP000021,,CON001918,Contact,Opened,
CM004001,CMP000017,,CON001104,Contact,Opened,
CM004007,CMP000011,,CON001554,Contact,Sent,
CM004011,CMP000016,,CON003536,Contact,Opened,
CM004014,CMP000027,,CON000504,Contact,Clicked,2026-08-21
CM004016,CMP000013,,CON003538,Contact,Clicked,2025-09-29
CM004017,CMP000002,,CON000468,Contact,Clicked,2025-03-08
CM004024,CMP000014,,CON002875,Contact,Sent,
CM004028,CMP000024,,CON001587,Contact,Attended,2025-09-24
CM004029,CMP000022,,CON002034,Contact,Opened,
CM004031,CMP000008,,CON003256,Contact,Attended,2025-08-25
CM004048,CMP000006,,CON002318,Contact,Sent,
CM004051,CMP000034,,CON003370,Contact,Opened,
CM004055,CMP000015,,CON000181,Contact,Sent,
CM004061,CMP000012,,CON000726,Contact,Opened,
CM004066,CMP000017,,CON003578,Contact,Sent,
CM004068,CMP000010,,CON002284,Contact,Clicked,2026-01-20
CM004077,CMP000024,,CON000442,Contact,Sent,
CM004082,CMP000005,,CON000208,Contact,Sent,
CM004083,CMP000002,,CON001013,Contact,Opened,
CM004085,CMP000002,,CON001238,Contact,Sent,
CM004086,CMP000028,,CON001373,Contact,Clicked,2026-08-15
CM004088,CMP000030,,CON002651,Contact,Attended,2026-05-06
CM004095,CMP000024,,CON002010,Contact,Opened,
CM004096,CMP000027,,CON002455,Contact,Sent,
