External Task ID,Activity Date,Owner External ID,Related Object Type,Related Object External ID,Task Type,Subject,Status,Outcome,Duration Minutes,Logged In System
TSK002580,2025-09-07,USR000021,Contact,CON000905,Call,Call - Connected,Completed,Connected,30,Outreach
TSK013111,2025-12-07,USR000025,Opportunity,OPP001630,Email,Email - Opened,Completed,Opened,60,Gong
TSK004546,2025-03-23,USR000001,Contact,CON001331,Demo,Demo - Left Voicemail,Completed,Left Voicemail,45,HubSpot
TSK001452,2025-12-26,USR000017,Lead,LED000830,Email,Email - Sent,Completed,Sent,20,HubSpot
TSK003339,2025-06-16,USR000020,Contact,CON001508,Call,Call - Completed,Completed,Completed,45,Salesforce
TSK000231,2025-06-24,USR000002,Opportunity,OPP000619,Meeting,Meeting - Connected,Completed,Connected,30,Outreach
TSK009618,2025-12-21,USR000011,Opportunity,OPP001199,Call,Call - Completed,Completed,Completed,5,Manual
TSK006884,2025-10-12,USR000007,Opportunity,OPP000178,Follow-up,Follow-up - No Response,Completed,No Response,10,Salesforce
TSK008530,2026-01-25,USR000007,Lead,LED003980,Meeting,Meeting - No Show,Completed,No Show,20,Gong
TSK009440,2025-07-10,USR000027,Opportunity,OPP000020,Email,Email - Clicked,Completed,Clicked,10,Manual
TSK013506,2025-03-03,USR000023,Opportunity,OPP001084,Follow-up,Follow-up - Completed,Completed,Completed,15,Manual
TSK006946,2026-01-15,USR000023,Opportunity,OPP000070,Email,Email - Opened,Completed,Opened,10,HubSpot
TSK010758,2026-05-23,USR000022,Contact,CON000596,Email,Email - Opened,Completed,Opened,30,Outreach
TSK000115,2026-01-21,USR000017,Lead,LED002571,Email,Email - Replied,Completed,Replied,10,Salesforce
TSK007585,2025-03-11,USR000011,Lead,LED003042,Call,Call - Completed,Completed,Completed,20,Outreach
TSK010561,2026-02-24,USR000014,Lead,LED000372,Email,Email - Bounced,Completed,Bounced,60,HubSpot
TSK003293,2025-10-15,USR000023,Opportunity,OPP001569,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,30,HubSpot
TSK011596,2025-09-26,USR000006,Contact,CON001471,Meeting,Meeting - Completed,Completed,Completed,20,Gong
TSK003412,2025-07-14,USR000001,Contact,CON002629,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,45,Gong
TSK009742,2025-05-07,USR000023,Opportunity,OPP000025,Email,Email - Replied,Completed,Replied,5,Outreach
TSK003092,2025-09-03,USR000014,Contact,CON001115,Call,Call - Left Voicemail,Completed,Left Voicemail,10,Salesforce
TSK009265,2025-11-21,USR000013,Contact,CON001541,Email,Email - Opened,Completed,Opened,5,Outreach
TSK000653,2026-06-25,USR000016,Contact,CON000085,Meeting,Meeting - Completed,Completed,Completed,10,Outreach
TSK008340,2026-05-01,USR000004,Contact,CON002174,Email,Email - Opened,Completed,Opened,5,Gong
TSK000907,2025-03-15,USR000003,Contact,CON002393,Demo,Demo - Left Voicemail,Completed,Left Voicemail,15,Salesforce
TSK008039,2025-02-05,USR000014,Contact,CON001401,Email,Email - Opened,Completed,Opened,30,Outreach
TSK010508,2025-06-09,USR000004,Lead,LED001211,Call,Call - Rescheduled,Open,Rescheduled,15,Outreach
TSK006926,2025-09-03,USR000011,Contact,CON001453,Follow-up,Follow-up - Completed,Completed,Completed,15,Gong
TSK001786,2025-08-14,USR000012,Lead,LED002299,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,10,Gong
TSK007882,2025-05-22,USR000003,Lead,LED003966,Email,Email - Bounced,Completed,Bounced,10,Gong
TSK013833,2026-03-14,USR000007,Opportunity,OPP000769,Follow-up,Follow-up - Completed,Completed,Completed,15,HubSpot
TSK002477,2025-09-12,USR000020,Contact,CON001365,Email,Email - Sent,Open,Sent,60,Salesforce
TSK008728,2025-10-03,USR000016,Opportunity,OPP000314,Email,Email - Replied,Open,Replied,30,Manual
TSK014196,2026-04-21,USR000008,Contact,CON001858,Email,Email - Sent,Completed,Sent,15,Manual
TSK004960,2025-02-26,USR000010,Contact,CON003029,Internal Note,Internal Note - Completed,Completed,Completed,30,HubSpot
TSK011794,2025-08-31,USR000002,Lead,LED000231,Follow-up,Follow-up - Completed,Completed,Completed,5,HubSpot
TSK000460,2026-02-09,USR000013,Opportunity,OPP000779,Call,Call - Connected,Completed,Connected,15,Outreach
TSK009884,2025-09-13,USR000022,Contact,CON001509,Email,Email - Opened,Completed,Opened,15,Manual
TSK009113,2025-12-30,USR000003,Contact,CON001820,Call,Call - Completed,Completed,Completed,20,Manual
TSK010254,2025-11-17,USR000025,Opportunity,OPP001323,Call,Call - No Show,Completed,No Show,45,Salesforce
TSK001872,2025-11-08,USR000001,Opportunity,OPP001076,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,20,Outreach
TSK001886,2026-01-04,USR000022,Contact,CON002455,Email,Email - Sent,Completed,Sent,15,Manual
TSK001415,2025-05-15,USR000005,Lead,LED003322,Email,Email - Sent,Completed,Sent,30,HubSpot
TSK000453,2025-03-01,USR000011,Lead,LED003472,Meeting,Meeting - Connected,Completed,Connected,5,Manual
TSK005790,2025-01-22,USR000011,Contact,CON000593,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,15,HubSpot
TSK007152,2025-11-17,USR000015,Contact,CON002395,Call,Call - No Show,Completed,No Show,10,Salesforce
TSK004406,2025-10-22,USR000005,Opportunity,OPP001112,Follow-up,Follow-up - No Response,Completed,No Response,30,Outreach
TSK003496,2025-01-05,USR000013,Contact,CON001749,Demo,Demo - Completed,Completed,Completed,10,Outreach
TSK000230,2025-05-12,USR000016,Lead,LED004085,Email,Email - Bounced,Open,Bounced,45,Manual
TSK003685,2025-11-16,USR000021,Opportunity,OPP001242,Email,Email - Sent,Completed,Sent,5,Gong
TSK012858,2025-04-02,USR000022,Lead,LED002291,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,20,Manual
TSK005584,2026-06-08,USR000022,Contact,CON000953,Demo,Demo - Completed,Completed,Completed,30,Manual
TSK000862,2025-07-07,USR000004,Lead,LED002595,Call,Call - Connected,Completed,Connected,20,Gong
TSK010724,2025-12-25,USR000021,Lead,LED000576,Call,Call - No Show,Completed,No Show,5,Outreach
TSK001815,2026-06-30,USR000013,Contact,CON002553,Email,Email - Sent,Open,Sent,10,Gong
TSK005120,2025-11-25,USR000008,Opportunity,OPP001382,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,5,Outreach
TSK002094,2026-04-17,USR000014,Lead,LED003157,Follow-up,Follow-up - No Response,Completed,No Response,15,Outreach
TSK006457,2026-01-03,USR000022,Lead,LED002857,Follow-up,Follow-up - Replied,Completed,Replied,30,HubSpot
TSK010385,2026-05-15,USR000026,Contact,CON001304,Email,Email - Replied,Completed,Replied,60,HubSpot
TSK013987,2025-11-29,USR000023,Contact,CON001671,Email,Email - Opened,Completed,Opened,5,Manual
TSK002606,2026-02-18,USR000009,Opportunity,OPP000270,Email,Email - Sent,Completed,Sent,5,Gong
TSK003797,2025-02-11,USR000025,Lead,LED000433,Call,Call - Completed,Completed,Completed,20,Outreach
TSK005787,2026-03-30,USR000018,Lead,LED000655,Call,Call - Completed,Completed,Completed,5,HubSpot
TSK006869,2026-03-25,USR000014,Lead,LED003655,Follow-up,Follow-up - Replied,Completed,Replied,15,Salesforce
TSK006801,2026-02-03,USR000007,Contact,CON001200,Email,Email - Clicked,Completed,Clicked,15,Gong
TSK010705,2025-07-17,USR000002,Opportunity,OPP000931,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,20,Manual
TSK011779,2026-03-12,USR000023,Contact,CON000422,Email,Email - Replied,Completed,Replied,15,Gong
TSK006619,2025-07-05,USR000003,Opportunity,OPP000645,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,10,Salesforce
TSK009830,2025-06-12,USR000025,Contact,CON001337,Call,Call - Left Voicemail,Completed,Left Voicemail,15,Gong
TSK010443,2025-01-12,USR000007,Contact,CON001331,Email,Email - Clicked,Open,Clicked,5,Salesforce
TSK002866,2025-05-04,USR000009,Contact,CON000350,Demo,Demo - Connected,Completed,Connected,30,HubSpot
TSK005870,2025-10-16,USR000025,Lead,LED002927,Email,Email - Replied,Completed,Replied,30,HubSpot
TSK007817,2025-08-21,USR000004,Opportunity,OPP000007,Follow-up,Follow-up - No Response,Completed,No Response,10,Salesforce
TSK003354,2026-05-29,USR000009,Opportunity,OPP000981,Meeting,Meeting - Rescheduled,Completed,Rescheduled,10,Gong
TSK013996,2026-03-20,USR000004,Contact,CON002365,Call,Call - Connected,Completed,Connected,5,Manual
TSK007725,2025-12-04,USR000002,Opportunity,OPP000251,Follow-up,Follow-up - No Response,Completed,No Response,5,Manual
TSK014454,2025-06-03,USR000022,Lead,LED001332,Meeting,Meeting - Completed,Completed,Completed,15,Manual
TSK000458,2025-04-28,USR000001,Contact,CON000647,Follow-up,Follow-up - Completed,Completed,Completed,30,HubSpot
TSK001482,2025-07-29,USR000009,Contact,CON002255,Call,Call - Connected,Completed,Connected,60,Outreach
TSK013332,2026-03-23,USR000002,Lead,LED000789,Follow-up,Follow-up - Pending,Open,Pending,15,Gong
TSK007524,2025-12-05,USR000016,Lead,LED002180,Follow-up,Follow-up - No Response,Completed,No Response,15,Gong
TSK011817,2025-12-12,USR000011,Contact,CON000973,Email,Email - Sent,Completed,Sent,15,HubSpot
TSK011975,2025-02-04,USR000003,Lead,LED001833,Email,Email - Sent,Completed,Sent,45,Outreach
TSK011003,2025-12-08,USR000017,Contact,CON002870,Follow-up,Follow-up - Replied,Completed,Replied,30,Salesforce
TSK001756,2025-12-08,USR000002,Opportunity,OPP000655,Email,Email - Opened,Completed,Opened,30,HubSpot
TSK008482,2025-08-20,USR000021,Opportunity,OPP001218,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,15,Manual
TSK008772,2026-02-08,USR000006,Opportunity,OPP001308,Follow-up,Follow-up - Pending,Completed,Pending,10,Salesforce
TSK009998,2025-09-22,USR000014,Opportunity,OPP000833,Email,Email - Sent,Completed,Sent,5,HubSpot
TSK004691,2025-02-12,USR000009,Contact,CON000353,Call,Call - Connected,Completed,Connected,10,Outreach
TSK013017,2026-01-10,USR000022,Contact,CON001326,Email,Email - Opened,Completed,Opened,20,Gong
TSK004604,2025-10-01,USR000026,Contact,CON001047,Meeting,Meeting - Connected,Completed,Connected,10,Salesforce
TSK010364,2026-04-08,USR000006,Opportunity,OPP001003,Follow-up,Follow-up - No Response,Completed,No Response,60,Outreach
TSK001687,2025-04-27,USR000017,Lead,LED001121,Email,Email - Sent,Completed,Sent,60,Outreach
TSK007343,2026-06-21,USR000021,Lead,LED002380,Meeting,Meeting - Connected,Completed,Connected,60,HubSpot
TSK012654,2025-02-23,USR000019,Opportunity,OPP000754,Email,Email - Replied,Completed,Replied,5,Manual
TSK011293,2026-04-23,USR000002,Lead,LED000675,Follow-up,Follow-up - No Response,Open,No Response,30,Gong
TSK003903,2026-01-02,USR000012,Lead,LED002283,Internal Note,Internal Note - No Response,Completed,No Response,45,Gong
TSK007650,2025-06-13,USR000004,Opportunity,OPP001351,Follow-up,Follow-up - Pending,Completed,Pending,60,Salesforce
TSK009350,2026-06-18,USR000027,Lead,LED003589,Demo,Demo - Connected,Completed,Connected,15,Manual
TSK005890,2025-08-20,USR000028,Opportunity,OPP000930,Meeting,Meeting - Connected,Completed,Connected,30,HubSpot
TSK003392,2025-09-03,USR000027,Lead,LED004070,Call,Call - Left Voicemail,Completed,Left Voicemail,45,Manual
TSK013834,2025-12-04,USR000008,Contact,CON000304,Meeting,Meeting - Connected,Open,Connected,20,Outreach
TSK005058,2025-07-23,USR000026,Contact,CON002085,Email,Email - Opened,Completed,Opened,10,HubSpot
TSK007842,2025-01-12,USR000022,Lead,LED000826,Email,Email - Opened,Open,Opened,15,Gong
TSK005145,2025-02-04,USR000027,Opportunity,OPP000515,Follow-up,Follow-up - Completed,Completed,Completed,5,Manual
TSK003503,2026-06-13,USR000012,Opportunity,OPP000305,Call,Call - Completed,Completed,Completed,5,HubSpot
TSK012396,2025-01-11,USR000021,Lead,LED001095,Email,Email - Replied,Completed,Replied,10,Outreach
TSK014112,2025-07-20,USR000012,Contact,CON001273,Email,Email - Sent,Completed,Sent,15,Manual
TSK005365,2025-01-28,USR000007,Contact,CON000712,Demo,Demo - Connected,Completed,Connected,10,Manual
TSK009709,2025-11-15,USR000018,Contact,CON001618,Follow-up,Follow-up - Replied,Completed,Replied,20,Outreach
TSK010537,2025-05-20,USR000017,Opportunity,OPP000747,LinkedIn Touch,LinkedIn Touch - Pending,Completed,Pending,15,Gong
TSK012955,2025-07-21,USR000009,Opportunity,OPP000585,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,15,Manual
TSK012724,2025-07-01,USR000001,Contact,CON001991,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,60,HubSpot
TSK009722,2026-03-28,USR000012,Opportunity,OPP001268,Demo,Demo - Left Voicemail,Completed,Left Voicemail,5,Manual
TSK012267,2025-05-28,USR000005,Contact,CON000799,Email,Email - Opened,Open,Opened,10,Gong
TSK009573,2026-04-20,USR000004,Contact,CON000930,Email,Email - Clicked,Completed,Clicked,15,Gong
TSK008827,2025-07-10,USR000015,Contact,CON002827,Call,Call - Left Voicemail,Completed,Left Voicemail,10,Manual
TSK005452,2025-08-31,USR000022,Opportunity,OPP000374,Email,Email - Replied,Completed,Replied,60,Outreach
TSK003854,2025-10-06,USR000004,Lead,LED001396,Demo,Demo - No Show,Completed,No Show,20,Salesforce
TSK012269,2026-04-29,USR000011,Lead,LED003409,Follow-up,Follow-up - No Response,Completed,No Response,10,HubSpot
TSK010881,2025-12-08,USR000005,Lead,LED003924,Call,Call - Left Voicemail,Completed,Left Voicemail,45,HubSpot
TSK003743,2025-02-23,USR000007,Contact,CON001355,Demo,Demo - No Show,Open,No Show,30,Manual
TSK010031,2025-01-03,USR000025,Opportunity,OPP000449,Follow-up,Follow-up - Replied,Completed,Replied,30,Manual
TSK002333,2025-07-31,USR000005,Lead,LED001091,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,30,Salesforce
TSK002128,2025-03-06,USR000001,Opportunity,OPP000137,Call,Call - Left Voicemail,Completed,Left Voicemail,60,Outreach
TSK002471,2025-10-01,USR000003,Contact,CON002497,Meeting,Meeting - Completed,Open,Completed,15,Manual
TSK004002,2025-05-27,USR000002,Lead,LED003401,Internal Note,Internal Note - Pending,Completed,Pending,5,HubSpot
TSK013896,2025-06-02,USR000003,Contact,CON000473,Call,Call - Connected,Completed,Connected,5,Manual
TSK012022,2026-04-29,USR000025,Contact,CON003523,Email,Email - Bounced,Completed,Bounced,5,Outreach
TSK007972,2026-06-04,USR000027,Lead,LED002302,Call,Call - Connected,Completed,Connected,15,Manual
TSK009845,2025-02-06,USR000028,Lead,LED002752,Demo,Demo - Completed,Completed,Completed,60,Manual
TSK009269,2026-01-27,USR000016,Opportunity,OPP000407,Call,Call - Connected,Completed,Connected,45,Outreach
TSK011539,2025-09-05,USR000009,Lead,LED002302,Email,Email - Sent,Completed,Sent,15,Gong
TSK006606,2025-10-02,USR000004,Opportunity,OPP000881,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,30,Salesforce
TSK012306,2025-01-26,USR000020,Contact,CON001347,Call,Call - Connected,Completed,Connected,20,Outreach
TSK014155,2025-01-28,USR000002,Opportunity,OPP000553,Call,Call - Connected,Completed,Connected,5,Gong
TSK005648,2025-12-22,USR000020,Lead,LED002250,Email,Email - Opened,Completed,Opened,10,Outreach
TSK005580,2025-04-03,USR000005,Contact,CON003578,Email,Email - Clicked,Completed,Clicked,15,Salesforce
TSK000701,2025-09-01,USR000007,Opportunity,OPP000769,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,15,Salesforce
TSK001787,2026-01-08,USR000021,Contact,CON001864,Follow-up,Follow-up - Completed,Open,Completed,30,HubSpot
TSK008504,2026-04-19,USR000003,Lead,LED000474,Follow-up,Follow-up - No Response,Completed,No Response,20,Manual
TSK007831,2025-12-31,USR000004,Lead,LED002765,Demo,Demo - Completed,Completed,Completed,5,Salesforce
TSK004413,2026-02-17,USR000022,Lead,LED000646,Email,Email - Sent,Completed,Sent,30,Manual
TSK010175,2026-01-10,USR000006,Lead,LED003790,Meeting,Meeting - Completed,Completed,Completed,15,Gong
TSK009047,2025-10-29,USR000003,Opportunity,OPP001308,Email,Email - Opened,Open,Opened,5,Salesforce
TSK000587,2026-02-10,USR000016,Contact,CON000141,LinkedIn Touch,LinkedIn Touch - Completed,Completed,Completed,10,Salesforce
TSK000034,2025-11-05,USR000001,Contact,CON002278,Follow-up,Follow-up - Replied,Open,Replied,15,HubSpot
TSK002847,2025-05-23,USR000022,Contact,CON003178,Meeting,Meeting - Connected,Completed,Connected,10,HubSpot
TSK013430,2025-10-11,USR000020,Lead,LED002813,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,45,HubSpot
TSK008354,2025-03-13,USR000020,Contact,CON001989,Email,Email - Opened,Completed,Opened,15,HubSpot
TSK000053,2025-10-10,USR000014,Contact,CON002458,Email,Email - Opened,Completed,Opened,30,Outreach
TSK012201,2025-04-17,USR000004,Contact,CON003126,Email,Email - Clicked,Completed,Clicked,10,HubSpot
TSK001517,2025-04-28,USR000018,Contact,CON001339,Call,Call - Connected,Completed,Connected,15,Salesforce
TSK012424,2025-09-25,USR000014,Contact,CON000238,Call,Call - Left Voicemail,Completed,Left Voicemail,20,Outreach
TSK003302,2025-02-19,USR000008,Contact,CON003309,Call,Call - Completed,Completed,Completed,15,Outreach
TSK005603,2025-05-07,USR000021,Contact,CON002312,Follow-up,Follow-up - Replied,Completed,Replied,10,Outreach
TSK012263,2025-06-27,USR000012,Lead,LED002689,Email,Email - Sent,Completed,Sent,15,Salesforce
TSK005959,2025-04-29,USR000006,Contact,CON002702,Demo,Demo - Connected,Completed,Connected,15,Salesforce
TSK003308,2025-10-21,USR000017,Lead,LED003561,Email,Email - Replied,Open,Replied,20,Salesforce
TSK005159,2026-02-24,USR000012,Lead,LED002459,Call,Call - No Show,Completed,No Show,45,Manual
TSK001176,2025-04-15,USR000027,Lead,LED002298,Email,Email - Opened,Completed,Opened,45,Gong
TSK013778,2025-08-09,USR000025,Lead,LED003949,Call,Call - Left Voicemail,Completed,Left Voicemail,15,Outreach
TSK001193,2025-02-27,USR000009,Opportunity,OPP001456,Internal Note,Internal Note - No Response,Completed,No Response,5,HubSpot
TSK006030,2025-02-14,USR000005,Opportunity,OPP001096,Email,Email - Sent,Completed,Sent,30,Gong
TSK006166,2026-02-21,USR000002,Contact,CON000046,Call,Call - Connected,Completed,Connected,10,Gong
TSK005644,2025-10-18,USR000022,Lead,LED003803,Internal Note,Internal Note - Completed,Completed,Completed,10,Gong
TSK003841,2025-04-09,USR000013,Lead,LED001280,Call,Call - Completed,Completed,Completed,60,HubSpot
TSK003848,2025-08-23,USR000008,Opportunity,OPP000161,Email,Email - Sent,Completed,Sent,45,Gong
TSK013333,2026-04-15,USR000002,Opportunity,OPP001146,Call,Call - Connected,Completed,Connected,60,Salesforce
TSK003294,2025-10-24,USR000020,Contact,CON000468,Follow-up,Follow-up - Pending,Completed,Pending,45,HubSpot
TSK012604,2025-07-13,USR000004,Contact,CON002766,Email,Email - Clicked,Completed,Clicked,30,Salesforce
TSK006982,2025-12-13,USR000006,Contact,CON003188,Demo,Demo - No Show,Completed,No Show,15,Gong
TSK010949,2025-03-10,USR000020,Contact,CON001363,Follow-up,Follow-up - Pending,Completed,Pending,5,Gong
TSK004938,2025-09-21,USR000013,Contact,CON000096,Call,Call - Left Voicemail,Completed,Left Voicemail,30,Outreach
TSK009089,2026-05-04,USR000010,Opportunity,OPP001217,Call,Call - Completed,Completed,Completed,45,Manual
TSK008182,2026-04-15,USR000021,Contact,CON002855,Call,Call - Connected,Completed,Connected,30,Manual
TSK013823,2026-06-24,USR000019,Lead,LED002825,Internal Note,Internal Note - No Response,Completed,No Response,20,HubSpot
TSK000726,2025-01-04,USR000019,Lead,LED002300,Call,Call - Completed,Completed,Completed,60,Outreach
TSK011917,2025-04-11,USR000008,Contact,CON000217,Email,Email - Opened,Completed,Opened,30,Manual
TSK008258,2026-02-22,USR000005,Lead,LED002230,Email,Email - Replied,Completed,Replied,5,Salesforce
TSK004292,2025-11-02,USR000005,Lead,LED002170,Follow-up,Follow-up - Replied,Completed,Replied,30,Gong
TSK012442,2026-03-14,USR000027,Contact,CON000574,Call,Call - Rescheduled,Completed,Rescheduled,10,HubSpot
TSK001028,2025-08-17,USR000024,Contact,CON002574,Demo,Demo - Left Voicemail,Completed,Left Voicemail,15,Salesforce
TSK001845,2025-07-04,USR000014,Contact,CON003142,Call,Call - Rescheduled,Completed,Rescheduled,10,Gong
TSK006127,2025-07-18,USR000004,Lead,LED002385,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,5,HubSpot
TSK012181,2025-03-23,USR000024,Opportunity,OPP001399,Demo,Demo - Left Voicemail,Completed,Left Voicemail,5,Outreach
TSK014259,2025-03-27,USR000006,Opportunity,OPP000513,Email,Email - Opened,Completed,Opened,30,Outreach
TSK007462,2025-10-09,USR000019,Contact,CON002876,Call,Call - Completed,Completed,Completed,10,Salesforce
TSK014170,2026-02-22,USR000024,Opportunity,OPP000619,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,20,Salesforce
TSK007763,2025-02-21,USR000008,Contact,CON000096,Email,Email - Clicked,Completed,Clicked,30,Gong
TSK013202,2026-01-23,USR000024,Opportunity,OPP000258,Follow-up,Follow-up - Replied,Open,Replied,10,Gong
TSK005582,2026-02-21,USR000016,Lead,LED001279,Follow-up,Follow-up - Pending,Open,Pending,15,Outreach
TSK007868,2025-03-07,USR000025,Lead,LED003190,Call,Call - Completed,Completed,Completed,60,Outreach
TSK010626,2026-05-18,USR000005,Contact,CON002317,Email,Email - Bounced,Completed,Bounced,45,Salesforce
TSK013304,2025-07-24,USR000025,Lead,LED004047,Email,Email - Clicked,Completed,Clicked,30,HubSpot
TSK008472,2025-06-13,USR000007,Lead,LED001029,Internal Note,Internal Note - Completed,Open,Completed,10,Outreach
TSK012353,2025-12-14,USR000005,Contact,CON001528,Email,Email - Clicked,Open,Clicked,45,HubSpot
TSK005779,2025-04-06,USR000018,Lead,LED000331,Email,Email - Sent,Completed,Sent,10,Manual
TSK002752,2025-07-08,USR000025,Contact,CON001963,Call,Call - Completed,Completed,Completed,30,Salesforce
TSK005730,2026-03-31,USR000024,Opportunity,OPP001498,LinkedIn Touch,LinkedIn Touch - Replied,Completed,Replied,15,Salesforce
TSK006551,2025-08-12,USR000028,Lead,LED003832,Demo,Demo - Connected,Completed,Connected,20,Manual
TSK003710,2025-04-11,USR000006,Lead,LED003867,Email,Email - Sent,Completed,Sent,5,Outreach
TSK001965,2026-02-20,USR000019,Lead,LED003885,Meeting,Meeting - Completed,Completed,Completed,15,Manual
TSK008274,2025-12-14,USR000027,Opportunity,OPP001081,Follow-up,Follow-up - Pending,Completed,Pending,20,Gong
TSK001105,2025-02-24,USR000014,Lead,LED001514,Email,Email - Sent,Completed,Sent,30,Salesforce
TSK000792,2025-05-22,USR000008,Lead,LED003325,Email,Email - Opened,Completed,Opened,10,Gong
TSK006687,2026-02-21,USR000006,Lead,LED001906,Email,Email - Opened,Completed,Opened,20,Manual
TSK005877,2026-02-02,USR000009,Contact,CON002174,Follow-up,Follow-up - No Response,Completed,No Response,20,Salesforce
TSK004175,2025-08-14,USR000015,Opportunity,OPP001242,LinkedIn Touch,LinkedIn Touch - No Response,Completed,No Response,15,HubSpot
TSK003194,2025-11-18,USR000021,Opportunity,OPP000256,Demo,Demo - Connected,Completed,Connected,10,Salesforce
TSK011257,2025-05-29,USR000014,Opportunity,OPP000189,Email,Email - Replied,Completed,Replied,10,Manual
TSK006181,2025-08-05,USR000005,Lead,LED000207,Call,Call - Connected,Open,Connected,15,Manual
TSK012214,2025-05-01,USR000023,Lead,LED001588,Call,Call - No Show,Completed,No Show,30,Manual
TSK007432,2025-10-26,USR000003,Opportunity,OPP001626,Call,Call - Left Voicemail,Completed,Left Voicemail,10,HubSpot
TSK011177,2025-12-22,USR000028,Contact,CON000062,Email,Email - Sent,Completed,Sent,60,Outreach
TSK000454,2026-04-20,USR000005,Lead,LED003170,Call,Call - Completed,Completed,Completed,10,Salesforce
TSK004019,2025-06-19,USR000001,Opportunity,OPP000782,Demo,Demo - Left Voicemail,Completed,Left Voicemail,15,Outreach
TSK011090,2026-05-14,USR000014,Opportunity,OPP001247,Email,Email - Clicked,Completed,Clicked,10,Salesforce
TSK012646,2026-01-08,USR000028,Contact,CON003309,Demo,Demo - Left Voicemail,Completed,Left Voicemail,30,HubSpot
TSK004422,2025-07-08,USR000012,Lead,LED000816,Meeting,Meeting - Completed,Completed,Completed,10,Outreach
TSK011566,2025-04-24,USR000013,Lead,LED002063,Call,Call - Completed,Completed,Completed,5,Manual
TSK010485,2025-09-01,USR000008,Contact,CON000695,Call,Call - Connected,Completed,Connected,15,HubSpot
TSK011139,2026-05-14,USR000028,Lead,LED001464,Call,Call - Completed,Completed,Completed,10,Salesforce
TSK004541,2025-12-03,USR000010,Opportunity,OPP000540,Email,Email - Clicked,Completed,Clicked,5,Manual
TSK009027,2026-01-03,USR000006,Contact,CON002591,Internal Note,Internal Note - Pending,Completed,Pending,20,Gong
TSK003377,2026-02-18,USR000012,Opportunity,OPP000657,Meeting,Meeting - No Show,Completed,No Show,5,HubSpot
TSK006414,2026-06-30,USR000008,Contact,CON002919,Email,Email - Bounced,Completed,Bounced,15,Manual
TSK012541,2026-05-12,USR000014,Lead,LED001464,Call,Call - Connected,Completed,Connected,5,Manual
TSK013146,2026-06-17,USR000020,Lead,LED002214,Email,Email - Sent,Completed,Sent,20,Gong
TSK003511,2026-06-20,USR000014,Lead,LED000850,Email,Email - Replied,Completed,Replied,15,Salesforce
TSK002697,2025-04-21,USR000006,Contact,CON000356,Demo,Demo - Connected,Open,Connected,10,Outreach
TSK006535,2026-05-26,USR000014,Contact,CON001981,Email,Email - Opened,Completed,Opened,30,Manual
TSK002963,2026-01-02,USR000018,Contact,CON000787,Email,Email - Replied,Completed,Replied,5,Outreach
TSK002588,2026-05-24,USR000023,Contact,CON003512,Email,Email - Sent,Completed,Sent,30,HubSpot
TSK003997,2025-03-30,USR000026,Lead,LED003071,Demo,Demo - Left Voicemail,Completed,Left Voicemail,20,Gong
TSK012605,2025-03-09,USR000003,Contact,CON002915,Email,Email - Clicked,Completed,Clicked,15,Salesforce
TSK002487,2026-05-23,USR000004,Contact,CON000745,Meeting,Meeting - Left Voicemail,Completed,Left Voicemail,10,Gong
TSK004249,2026-03-02,USR000026,Contact,CON001761,Internal Note,Internal Note - Completed,Completed,Completed,60,Outreach
TSK000881,2025-10-19,USR000013,Lead,LED003676,Email,Email - Sent,Open,Sent,30,Salesforce
TSK013048,2026-06-15,USR000022,Lead,LED002101,Demo,Demo - Completed,Completed,Completed,10,Manual
TSK009502,2025-01-12,USR000025,Contact,CON003434,Email,Email - Sent,Completed,Sent,15,HubSpot
TSK006303,2025-08-23,USR000016,Lead,LED000530,Email,Email - Opened,Completed,Opened,45,Outreach
TSK001877,2025-04-15,USR000027,Opportunity,OPP001226,Email,Email - Bounced,Completed,Bounced,15,Gong
TSK012262,2026-06-14,USR000025,Lead,LED004036,Call,Call - Left Voicemail,Completed,Left Voicemail,20,Salesforce
TSK010522,2026-01-28,USR000016,Contact,CON001793,Meeting,Meeting - Left Voicemail,Open,Left Voicemail,60,Manual
TSK012876,2025-09-24,USR000028,Lead,LED002439,Email,Email - Sent,Completed,Sent,5,Outreach
TSK005753,2026-03-24,USR000016,Contact,CON001365,Call,Call - Connected,Completed,Connected,30,Salesforce
